PASSENGERS,FREIGHT,MAIL
7.241366283322318,0.0,0.0
8.13739583005665,0.0,0.0
8.038512020976814,0.0,0.0
0.0,7.77485576666552,0.0
3.8501476017100584,0.0,0.0
2.833213344056216,0.0,0.0
8.155649270366002,0.0,0.0
8.09009578318096,0.0,0.0
8.046229101075378,0.0,0.0
4.143134726391533,0.0,0.0
4.7535901911063645,0.0,0.0
8.002694162283937,0.0,0.0
8.716535732544495,0.0,0.0
8.203304026795282,7.8013913202914855,0.0
8.492080490601163,7.53689712956617,0.0
1.0986122886681098,0.0,0.0
7.2456550675945355,0.0,0.0
8.152198015861787,8.70317470904168,0.0
8.065265208897733,0.0,0.0
2.4849066497880004,0.0,0.0
0.0,12.19055791206359,10.438547147147077
7.508787170634276,0.0,0.0
6.144185634125646,0.0,0.0
8.774003600200931,8.961237781491876,7.729295674310482
1.0986122886681098,0.0,0.0
1.0986122886681098,0.0,0.0
1.3862943611198906,0.0,0.0
9.155356063643422,8.532672762264625,9.485089169016064
0.0,9.913140809564267,0.0
2.5649493574615367,0.0,0.0
7.67786350067821,0.0,0.0
8.453614209773367,4.564348191467836,0.0
1.0986122886681098,0.0,0.0
7.011213987350367,0.0,0.0
7.937017489515454,0.0,0.0
2.5649493574615367,0.0,0.0
8.544029845369797,9.971660087639178,2.772588722239781
7.535830462798367,0.0,0.0
4.890349128221754,0.0,0.0
8.659213451436667,6.311734809152915,0.0
8.097426298597213,0.0,0.0
1.3862943611198906,0.0,0.0
3.8918202981106265,0.0,0.0
8.282483003730562,0.0,0.0
8.327967858305488,0.0,0.0
9.364605330987612,9.913140809564267,10.934267010894981
2.8903717578961645,0.0,0.0
9.165865881874353,11.80723552371223,10.778643741051727
4.290459441148391,0.0,0.0
3.8066624897703196,0.0,0.0
7.559038255443384,0.0,0.0
0.0,9.590556045830896,0.0
1.3862943611198906,0.0,0.0
3.1354942159291497,0.0,0.0
0.0,9.095939111666207,0.0
1.6094379124341003,0.0,0.0
7.544861068658458,0.0,0.0
1.0986122886681098,0.0,0.0
