DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
6.56244409369372,58,1,62,3,3,276,1,41,398,0,926,2011,1,2,2,0
7.573017256052546,38,1,41,3,3,459,0,906,193,1,54,2015,3,7,4,1
6.421622267806518,18,1,21,2,2,126,1,21,350,0,951,2012,1,3,2,0
7.519692404116539,68,1,71,2,2,459,0,906,134,1,43,2010,2,4,4,2
6.927557906278317,58,1,62,3,3,99,1,82,338,0,916,2017,4,12,3,0
7.2875606403097235,66,1,69,2,2,269,1,73,338,0,916,2015,3,9,3,0
6.902742737158593,66,1,69,2,2,18,1,34,395,0,941,2013,2,5,2,0
6.411818267709897,41,2,44,1,4,245,1,54,403,0,936,2011,1,3,2,3
6.089044875446846,17,1,20,2,2,428,0,936,98,1,43,2014,2,5,1,0
4.919980925828125,38,1,41,3,3,151,1,66,398,0,926,2012,2,6,1,1
7.259819610363186,58,1,62,3,3,251,1,72,398,0,926,2010,4,12,3,0
7.277938572945661,14,2,17,3,3,396,0,916,10,1,1,2016,2,4,3,3
5.811140992976701,0,1,0,1,6,35,1,13,388,0,946,2018,3,7,1,2
6.089044875446846,38,1,41,3,3,184,1,42,412,0,936,2015,1,2,1,1
5.986452005284438,53,1,57,3,3,414,0,936,232,1,41,2016,1,1,1,0
7.718240951959316,30,1,33,3,3,459,0,906,15,1,34,2010,3,7,5,0
5.846438775057725,34,1,37,3,3,177,1,38,412,0,936,2013,1,2,1,0
6.3818160174060985,80,1,83,2,2,475,0,936,316,1,54,2011,4,12,2,0
7.1180162044653335,20,1,23,3,3,231,1,33,412,0,936,2014,2,4,3,0
7.787796878181171,29,1,32,2,2,291,1,23,397,0,906,2011,1,1,5,0
6.0867747269123065,17,1,20,2,2,184,1,42,412,0,936,2010,3,8,1,0
6.618738983517219,25,1,28,1,5,457,0,941,232,1,41,2016,4,12,2,0
6.194405391104672,66,1,69,2,2,177,1,38,395,0,941,2012,3,9,1,0
7.214504414151143,72,1,75,3,3,396,0,916,171,1,91,2014,4,11,3,0
5.796057750765372,34,1,37,3,3,126,1,21,368,0,936,2017,2,4,1,0
5.755742213586912,45,1,49,1,6,196,1,93,76,0,906,2015,3,8,1,0
5.717027701406222,84,3,87,2,2,436,0,941,7,1,22,2016,2,6,1,0
5.805134968916488,84,3,87,2,2,126,1,21,395,0,941,2018,1,3,1,0
7.6838639802564295,71,1,74,3,3,251,1,72,397,0,906,2012,2,5,5,0
6.118097198041348,64,1,67,2,2,335,1,93,407,0,916,2018,2,4,1,0
6.85751406254539,34,1,37,3,3,249,1,63,395,0,941,2015,4,12,2,0
4.852030263919617,29,1,32,2,2,335,1,93,397,0,906,2014,3,8,1,0
7.753194269884341,48,1,52,1,4,251,1,72,411,0,961,2011,2,5,5,3
6.618738983517219,58,1,62,3,3,457,0,941,232,1,41,2017,1,2,2,0
7.055312843339752,84,3,87,2,2,409,0,951,83,1,52,2017,4,10,3,0
5.886104031450156,85,1,88,2,2,475,0,936,89,1,38,2016,2,5,1,0
7.01301578963963,66,1,69,2,2,475,0,936,213,1,72,2015,3,7,3,0
7.573017256052546,71,1,74,3,3,200,1,85,412,0,936,2010,1,3,4,0
7.134890851565884,68,3,71,2,2,181,1,81,338,0,916,2015,4,10,3,2
6.9584483932976555,30,1,33,3,3,470,0,916,212,1,63,2011,3,7,3,0
7.685243607975833,20,1,23,3,3,201,1,91,412,0,936,2011,3,8,5,0
6.396929655216146,66,1,69,2,2,457,0,941,70,1,44,2016,1,1,2,0
6.618738983517219,25,1,28,1,5,457,0,941,232,1,41,2017,2,4,2,0
7.239214973779806,42,2,45,2,2,408,0,941,119,1,33,2010,4,10,3,2
7.213768308118642,34,1,37,3,3,18,1,34,350,0,951,2013,2,6,3,0
6.618738983517219,53,1,57,3,3,457,0,941,232,1,41,2013,3,8,2,0
7.182352111885263,40,1,43,2,2,475,0,936,90,1,82,2017,4,11,3,0
5.805134968916488,34,1,37,3,3,126,1,21,395,0,941,2013,4,11,1,0
7.182352111885263,71,1,74,3,3,475,0,936,90,1,82,2014,4,10,3,0
6.1092475827643655,66,1,69,2,2,428,0,936,150,1,38,2011,4,10,1,0
6.85751406254539,30,1,33,3,3,249,1,63,395,0,941,2015,2,5,2,0
6.272877006546167,57,1,61,3,3,108,1,43,395,0,941,2010,3,7,2,0
5.811140992976701,17,1,20,2,2,191,1,22,395,0,941,2013,2,6,1,0
5.805134968916488,34,1,37,3,3,457,0,941,111,1,21,2013,1,3,1,0
7.1180162044653335,9,2,11,1,1,475,0,936,199,1,33,2018,4,11,3,2
7.5766097669730375,71,1,74,3,3,177,1,38,407,0,916,2015,2,6,4,0
5.849324779946859,0,1,0,1,6,475,0,936,305,1,21,2016,4,10,1,2
7.0587581525186645,58,1,62,3,3,396,0,916,286,1,91,2011,1,2,3,0
7.1180162044653335,30,1,33,3,3,231,1,33,412,0,936,2015,2,4,3,2
6.580639137284949,58,1,62,3,3,345,1,87,407,0,916,2015,1,1,2,0
6.135564891081739,70,2,73,2,2,173,1,42,347,0,936,2018,4,11,1,3
7.577633832602728,70,2,73,2,2,411,1,43,397,0,906,2018,4,11,4,3
6.408528791059498,34,1,37,3,3,126,1,21,380,0,946,2013,1,1,2,0
6.1903154058531475,85,1,88,2,2,457,0,941,89,1,38,2013,3,8,1,0
7.3987862754199485,38,1,41,3,3,225,1,54,407,0,916,2013,4,11,4,1
6.8679744089702925,13,1,16,3,3,470,0,916,125,1,67,2011,2,4,2,1
6.566672429803241,14,2,17,3,3,423,0,941,83,1,52,2016,3,8,2,3
6.688354713946762,85,1,88,2,2,74,1,36,395,0,941,2011,2,5,2,0
6.682108597449809,17,1,20,2,2,39,1,51,412,0,936,2010,3,9,2,0
5.648974238161206,45,1,49,1,6,31,0,906,166,1,93,2014,3,8,1,0
6.8679744089702925,13,1,16,3,3,470,0,916,125,1,67,2010,3,7,2,1
6.102558594613569,53,1,57,3,3,50,1,13,412,0,936,2010,3,8,1,0
7.552762084214147,50,1,54,1,1,18,1,34,411,0,961,2010,3,9,4,3
6.9865664594064265,30,1,33,3,3,459,0,906,171,1,91,2017,3,7,3,0
5.811140992976701,40,1,43,2,2,457,0,941,163,1,22,2016,2,4,1,0
6.927557906278317,71,1,74,3,3,396,0,916,90,1,82,2015,2,5,3,0
7.685703061234547,20,1,23,3,3,201,1,91,412,0,936,2011,1,3,5,0
4.812184355372417,13,1,16,3,3,459,0,906,34,1,93,2018,2,5,1,1
7.416979621381154,20,1,23,3,3,470,0,916,65,1,44,2012,3,7,4,0
