Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
28647,2176.0,AA,D,AA,3,3,LAX,US,91,YYZ,CA,936,2013,2,4,5,F
48160,515.0,ZW,D,ZW,2,2,YQB,CA,941,PHL,US,23,2016,4,10,2,F
3540,396.0,XE,D,XE,2,2,YTM,CA,941,EWR,US,21,2010,4,12,1,F
54806,559.0,OO,D,OO,3,3,SEA,US,93,YEG,CA,916,2017,2,6,2,F
34143,783.0,EV,D,EV,3,3,YWG,CA,926,DEN,US,82,2014,2,6,2,F
54881,1019.0,OO,D,OO,3,3,SFO,US,91,YYC,CA,916,2017,2,4,3,F
25275,436.0,09Q,D,09Q,1,4,YYZ,CA,936,ORD,US,41,2013,4,12,1,L
50365,207.0,FX,D,FX,3,3,YWG,CA,926,FAR,US,66,2017,4,10,1,G
25872,868.0,G4,D,G4,2,2,YEG,CA,916,SLC,US,87,2013,2,4,2,L
52533,1102.0,SY,D,SY,2,2,IFP,US,81,YYC,CA,916,2017,4,11,3,L
14899,98.0,QX,D,QX,2,2,SEA,US,93,YYJ,CA,906,2011,4,12,1,F
7398,98.0,QX,D,QX,2,2,SEA,US,93,YYJ,CA,906,2010,3,9,1,F
49557,394.0,ZW,D,ZW,2,2,YUL,CA,941,PHL,US,23,2016,3,8,1,F
52611,345.0,AX,D,AX,1,5,YYZ,CA,936,IAD,US,38,2017,3,7,1,F
48812,357.0,AX,D,AX,1,5,YYZ,CA,936,LGA,US,22,2016,4,11,1,F
57871,708.0,09Q,I,09Q,1,1,ORD,US,41,YWG,CA,926,2018,2,4,2,L
40657,515.0,ZW,D,ZW,2,2,YQB,CA,941,PHL,US,23,2015,1,2,2,F
16888,875.0,OO,D,OO,3,3,YVR,CA,906,FAT,US,91,2012,1,1,2,F
13105,450.0,AX,D,AX,1,5,IAD,US,38,YOW,CA,936,2011,2,4,1,F
41758,739.0,9E,D,9E,2,2,YYZ,CA,936,ATL,US,34,2015,1,3,2,F
30523,793.0,5X,D,5X,3,3,SDF,US,52,YMX,CA,941,2014,3,7,2,G
10077,1167.0,UA,D,UA,3,3,YYZ,CA,936,RAP,US,67,2011,3,7,3,F
5967,2260.0,UA,D,UA,3,3,YYZ,CA,936,SFO,US,91,2010,1,1,5,F
5972,346.0,S5,D,S5,2,2,YYZ,CA,936,IAD,US,38,2010,4,12,1,F
36242,1233.0,AA,D,AA,3,3,YYZ,CA,936,MIA,US,33,2014,4,10,3,F
19930,803.0,YX,D,YX,2,2,CLT,US,36,YUL,CA,941,2012,3,9,2,F
49512,739.0,DL,D,DL,3,3,YYZ,CA,936,ATL,US,34,2016,1,3,2,F
49504,994.0,EV,D,EV,3,3,YUL,CA,941,ATL,US,34,2016,3,7,2,F
33812,324.0,EV,D,EV,3,3,LGA,US,22,YUL,CA,941,2014,1,1,1,F
15982,1124.0,U7,I,U7,2,2,JZT,US,74,YXU,CA,936,2012,1,2,3,P
9094,439.0,FX,D,FX,3,3,IND,US,42,YYZ,CA,936,2011,1,3,1,G
57763,1003.0,09Q,I,09Q,1,1,YWG,CA,926,BUF,US,22,2018,1,3,3,L
17476,345.0,C5,D,C5,1,6,IAD,US,38,YYZ,CA,936,2012,3,8,1,F
42267,655.0,EV,D,EV,3,3,ORD,US,41,YOW,CA,936,2015,1,3,2,F
60390,899.0,OO,D,OO,3,3,DEN,US,82,YYC,CA,916,2018,3,9,2,F
16612,672.0,EV,D,EV,2,2,YOW,CA,936,RDU,US,36,2012,1,2,2,F
13013,495.0,XE,D,XE,2,2,CLE,US,44,YUL,CA,941,2011,4,11,1,F
532,314.0,GFQ,I,GFQ,1,4,YQG,CA,936,RFD,US,41,2010,2,6,1,P
26965,588.0,ZW,D,ZW,2,2,YYZ,CA,936,CLT,US,36,2013,2,6,2,F
1962,1257.0,XJ,D,XJ,2,2,CLE,US,44,YQR,CA,921,2010,1,1,3,F
25765,1019.0,S5,D,S5,2,2,DEN,US,82,YEG,CA,916,2013,3,7,3,F
16608,666.0,S5,D,S5,2,2,IND,US,42,YOW,CA,936,2012,4,11,2,F
41277,1162.0,YX,L,YX,2,2,EWR,US,21,YYT,CA,961,2015,4,10,3,F
